INFO 2024-06-16 14:36:17,446 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-16 14:36:17,448 autoreload Waiting for apps ready_event.
DEBUG 2024-06-16 14:36:19,411 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-16 14:36:19,453 autoreload Watching dir E:\Django\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-06-16 14:36:19,453 autoreload Watching dir E:\Django\instaclone\users\templates with glob **/*.
DEBUG 2024-06-16 14:36:19,454 autoreload Watching dir E:\Django\instaclone\locale with glob **/*.mo.
DEBUG 2024-06-16 14:36:19,454 autoreload Watching dir E:\Django\instaclone\users\locale with glob **/*.mo.
DEBUG 2024-06-16 14:36:19,454 autoreload Watching dir E:\Django\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-06-16 14:36:19,816 utils (0.016) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2024-06-16 14:36:19,817 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-06-16 14:36:19,830 utils (0.015) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2024-06-16 14:36:19,831 autoreload File E:\Django\instaclone\users\urls.py first seen with mtime 1718482133.3072212
DEBUG 2024-06-16 14:36:19,832 autoreload File C:\Program Files\Python311\Lib\xml\dom\xmlbuilder.py first seen with mtime 1675769062.0
DEBUG 2024-06-16 14:36:19,832 autoreload File E:\Django\Lib\site-packages\django\utils\connection.py first seen with mtime 1684937931.0274704
DEBUG 2024-06-16 14:36:19,833 autoreload File C:\Program Files\Python311\Lib\email\parser.py first seen with mtime 1675769062.0
DEBUG 2024-06-16 14:36:19,833 autoreload File E:\Django\Lib\site-packages\jinja2\compiler.py first seen with mtime 1697313562.7873552
DEBUG 2024-06-16 14:36:19,833 autoreload File E:\Django\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1684937931.0909376
DEBUG 2024-06-16 14:36:19,834 autoreload File E:\Django\Lib\site-packages\jinja2\idtracking.py first seen with mtime 1697313562.8096073
DEBUG 2024-06-16 14:36:19,836 autoreload File E:\Django\Lib\site-packages\selenium\webdriver\safari\options.py first seen with mtime 1718476374.6484087
DEBUG 2024-06-16 14:36:19,837 autoreload File E:\Django\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1684937926.2839334
DEBUG 2024-06-16 14:36:19,837 autoreload File E:\Django\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1684937930.5367608
DEBUG 2024-06-16 14:36:19,838 autoreload File E:\Django\Lib\site-packages\django\core\files\images.py first seen with mtime 1684937930.5388944
DEBUG 2024-06-16 14:36:19,838 autoreload File E:\Django\Lib\site-packages\rest_framework_simplejwt\views.py first seen with mtime 1717281620.0147712
DEBUG 2024-06-16 14:36:19,838 autoreload File E:\Django\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1684937930.6381629
DEBUG 2024-06-16 14:36:19,838 autoreload File E:\Django\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1684937930.4727356
DEBUG 2024-06-16 14:36:19,839 autoreload File E:\Django\Lib\site-packages\django\contrib\admindocs\utils.py first seen with mtime 1684937927.2812755
DEBUG 2024-06-16 14:36:19,839 autoreload File C:\Program Files\Python311\Lib\asyncio\selector_events.py first seen with mtime 1675769062.0
DEBUG 2024-06-16 14:36:19,840 autoreload File E:\Django\Lib\site-packages\django\utils\encoding.py first seen with mtime 1684937931.0420134
DEBUG 2024-06-16 14:36:19,840 autoreload File E:\Django\Lib\site-packages\selenium\webdriver\remote\switch_to.py first seen with mtime 1718476372.9046266
DEBUG 2024-06-16 14:36:19,841 autoreload File E:\Django\Lib\site-packages\selenium\webdriver\common\actions\wheel_input.py first seen with mtime 1718476004.1405895
